instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,17,207,0,14209836625,14209836625,1,74134316,74792075,"[74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937]"
0,1,meta-llama/Llama-3.2-1B-Instruct,59,352,11827935,36123496004,36111668069,14198008690,14271742289,74794266,"[74732009, 74732009, 74732009, 74732009, 74732009, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809]"
0,2,meta-llama/Llama-3.2-1B-Instruct,21,341,66919073,60054673606,59987754533,36056576931,36130711310,74786969,"[74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809]"
0,3,meta-llama/Llama-3.2-1B-Instruct,165,369,107843427,75309728850,75201885423,59946830179,60021786188,74778813,"[74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809]"
0,4,meta-llama/Llama-3.2-1B-Instruct,6,240,444516192,92809041484,92364525292,74865212658,74939461963,74785679,"[74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937]"
0,5,meta-llama/Llama-3.2-1B-Instruct,1,33,524868530,95199982988,94675114458,92284172954,92358422179,74732009,"[74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009]"
0,6,meta-llama/Llama-3.2-1B-Instruct,177,683,539545635,133004518486,132464972851,94660437353,94735393554,74712038,"[74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913, 74633913]"
0,7,meta-llama/Llama-3.2-1B-Instruct,9,49,581233026,135993201024,135411967998,132423285460,132497419647,74732009,"[74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009]"
0,8,meta-llama/Llama-3.2-1B-Instruct,8,613,617103492,181209012725,180591909233,135376097532,135450346869,74737686,"[74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74775945, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74766937, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74782905, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74790809, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74578489, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74603481, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74736985, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953, 74760953]"
0,9,meta-llama/Llama-3.2-1B-Instruct,15,77,656841268,185843309253,185186467985,180552171457,180626305740,74756758,"[74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74732009, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817, 74857817]"
