hardware,model,layer_name,input,kv_cache,latency(ns)
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,0,361435
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,0,219739
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,0,221280
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,0,219575
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,0,1385207
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,0,246544
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,0,364244
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,0,217488
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,0,221410
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,0,283914
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,0,224450
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,0,208747
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,0,354751
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,0,235711
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,256,0,367319
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,256,0,224941
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,256,0,224901
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,256,0,222411
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,256,0,1396458
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,256,0,248001
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,256,0,367223
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,256,0,222287
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,256,0,224883
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,256,0,289217
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,256,0,225700
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,256,0,212097
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,256,0,360657
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,256,0,240329
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,512,0,362377
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,512,0,219741
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,512,0,219182
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,512,0,218211
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,512,0,1378835
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,512,0,241414
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,512,0,362278
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,512,0,216213
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,512,0,219580
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,512,0,281673
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,512,0,223397
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,512,0,205435
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,512,0,354783
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,512,0,234553
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,768,0,361530
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,768,0,219639
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,768,0,219610
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,768,0,220373
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,768,0,1381894
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,768,0,241739
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,768,0,365255
